,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,H/A/N,Conference,Opponent,Opponent Conference,Date,Location,Attendance,Non Conference Game,Neutral Site Game,Road Game,Top 25 Opponent,March Madness Opponent,NCON MM,Mid Major Opponent,Opponent Wins,Opponent Losses,Opponent Win Percentage,Opponent Won More than 20,Opponent Lost more than 15,Record Differential,Record Differential Squared,Win Differential Squared,SM,Line,(SM+Line)^2,(SM+Line+10)^2,Cover Spread,Largest Lead,Largest Deficit,Volatility,Lost as Favorite,Won as Underdog,Tournament Caliber Game ,Win Game within 8,Under .500 Opp min 5 games,15+ Win Within .150 WD min 5g,No double digit lead,Above 5 and below 15 leads,Beat line by double digits,Won by 20 against over .500 team,Within 10 line,Line over 20,Over/Under Line,Total Points,Player Points given up,Opp Coach Value,Opp Historical Value,Standard Point,Game Coding,Potential Game Coding Next Season,Personal Score Thought,"THINK ABOUT ON THE ROAD FAVORITES, within 10 line, 20+ line, power conference vs power conference, actually name the conference for opponent, road x conference, add attendance back,  ranked opponents, top 5, top 10, (sm+line+10)^2 vs ranked, lead/deficit both within 15, both l/d between 7-15, wins by top 25 opponent, actively in bracketology?, power non conference road game, add opponent coach rating",SOS Median,SOS Min,SOS Max,SOS STDEV,SOS SUM
Alabama A&M,,,,,,,,,,,,,,,1,1,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.316060199578,-3.316060199578,-3.316060199578,–,-3.316060199578
,Alabama A&M,AWAY,SWAC,Tennessee St.,Ohio Valley,"Nov 16, 2024","Nashville, TN",995,1,0,1,0,0,0,1,1,3,0.25,0,0,0.75,0.5625,-4,-10,8.5,-2.25,72.25,0,8,14,112,0,0,0,0,0,0,0,1,0,0,1,0,148.5,152,0,17.2424800422,15.567,1,212,21212,25,,-3.316060199578,-3.316060199578,-3.316060199578,-3.316060199578,-3.316060199578
Alabama St.,,,,,,,,,,,,,,,0.5,0.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.773573828357,6.115253210834,37.43189444588,22.1442093812873,43.547147656714
,Alabama St.,AWAY,SWAC,UNLV,Mountain West,"Nov 4, 2024","Las Vegas, NV","4,608",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-14,13.5,-0.25,90.25,0,5,14,70,0,0,0,0,0,0,0,1,0,0,0,0,137.5,172,0,10.2465210834,6.629,1,212,21212,20,,6.115253210834,6.115253210834,6.115253210834,6.115253210834,6.115253210834
,Alabama St.,AWAY,SWAC,LSU,SEC,"Nov 10, 2024","Baton Rouge, LA",7247,1,0,1,0,0,0,0,1,0,1,0,0,-1,-1,1,-13,20.5,56.25,306.25,1,10,13,130,0,0,0,0,0,0,0,1,1,0,0,1,151.5,135,0,3.413344588,6.629,1,211,21211,20,,37.43189444588,37.43189444588,37.43189444588,37.43189444588,37.43189444588
Albany,,,,,,,,,,,,,,,1,1.66666666666667,,,,,,,0.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8091933828982,-10.455662053866,74.813949941066,42.9077930750475,88.1674812700982
,Albany,AWAY,American East,Army,Patriot,"Nov 4, 2024","West Point, NY",350,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-8,1.5,-42.25,12.25,0,7,11,77,0,0,0,0,0,0,0,1,0,0,1,0,143.5,126,0,14.5638946134,7.529,1,212,21212,20,,-10.455662053866,-10.455662053866,-10.455662053866,-10.455662053866,-10.455662053866
,Albany,AWAY,American East,Dartmouth,Ivy,"Nov 13, 2024","Hanover, NH",721,1,0,1,0,0,0,1,2,0,1,0,0,-0.5,-0.25,1,14,4.5,342.25,812.25,1,15,7,105,0,1,0,0,0,0,0,1,1,0,1,0,150.5,160,0,7.6791941066,7.529,1,212,21212,55,,74.813949941066,74.813949941066,74.813949941066,74.813949941066,74.813949941066
,Albany,HOME,American East,Siena,MAAC,"Nov 16, 2024","Albany, NY","3,889",1,0,0,0,0,0,1,3,0,1,0,0,-0.333333333333333,-0.111111111111111,1,10,-4.5,30.25,240.25,1,12,2,24,0,0,0,0,0,0,0,0,1,0,1,0,147.5,130,0,21.6083494009333,7.529,1,112,21112,30,,23.8091933828982,23.8091933828982,23.8091933828982,23.8091933828982,23.8091933828982
Alcorn St.,,,,,,,,,,,,,,,1,0.666666666666667,,,,,,,1.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.449178743318,-44.077326743318,10.935688365564,28.006119557135,-40.590817121072
,Alcorn St.,AWAY,SWAC,Utah,Big 12,"Nov 4, 2024","Salt Lake City, UT",6785,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-41,23.5,-306.25,-56.25,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,146.5,159,0,17.1880256682,15.761,1,212,21212,5,,-7.449178743318,-7.449178743318,-7.449178743318,-7.449178743318,-7.449178743318
,Alcorn St.,AWAY,SWAC,Utah St.,Mountain West,"Nov 6, 2024","Logan, UT","8,131",1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,-55,28.5,-702.25,-272.25,0,2,57,114,0,0,0,0,0,0,0,0,0,0,0,1,154.5,147,0,17.1880256682,15.761,1,212,22212,0,,-44.077326743318,-44.077326743318,-44.077326743318,-44.077326743318,-44.077326743318
,Alcorn St.,AWAY,SWAC,Tulane,American,"Nov 11, 2024","New Orleans, LA",1202,1,0,1,0,0,0,1,2,0,1,0,0,-1,-1,4,-33,21.5,-132.25,-2.25,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,1,154.5,135,0,13.7930365564,15.761,1,212,21212,0,,10.935688365564,10.935688365564,10.935688365564,10.935688365564,10.935688365564
American,,,,,,,,,,,,,,,0.75,1,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.54569542,-69.1160967424949,36.807786362216,43.6719330168168,-49.3997012202789
,American,AWAY,Patriot,La Salle,A10,"Nov 4, 2024","Philadelphia, PA",2305,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-13,4.5,-72.25,2.25,0,1,15,15,0,0,0,0,0,0,0,0,0,0,1,0,137.5,117,0,17.1527575,11.983,1,212,21212,15,,-3.354836425,-3.354836425,-3.354836425,-3.354836425,-3.354836425
,American,HOME,Patriot,Harvard,Ivy,"Nov 10, 2024","Washington, DC",3319,1,0,0,0,0,0,1,1,1,0.5,0,0,-0.5,-0.25,1,12,-1.5,110.25,420.25,1,20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,141.5,122,0,15.1655362216,11.983,1,112,21112,25,,36.807786362216,36.807786362216,36.807786362216,36.807786362216,36.807786362216
,American,AWAY,Patriot,Siena,MAAC,"Nov 12, 2024","Albany, NY","4,451",1,0,1,0,0,0,1,2,0,1,0,0,-0.5,-0.25,1,-8,-2.5,-110.25,-0.25,0,5,15,75,1,0,0,0,0,0,0,1,0,0,1,0,132.5,140,0,17.1744585,11.983,1,212,21212,15,,-13.736554415,-13.736554415,-13.736554415,-13.736554415,-13.736554415
,American,AWAY,Patriot,North Carolina,ACC,"Nov 15, 2024","Chapel Hill, NC","19,555",1,0,1,1,1,1,0,1,1,0.5,0,0,-0.166666666666667,-0.0277777777777779,0,-52,24.5,-756.25,-306.25,0,5,52,260,0,0,0,0,0,0,0,0,0,0,0,1,148.5,162,0,15.2145146394,11.983,1,221,22221,0,,-69.1160967424949,-69.1160967424949,-69.1160967424949,-69.1160967424949,-69.1160967424949
Appalachian St.,,,,,,,,,,,,,,,0.5,1,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42.4311858011183,-44.5596679222143,-40.3027036800223,3.01012828292262,-84.8623716022366
,Appalachian St.,HOME,Sun Belt,Miami OH,MAC,"Nov 4, 2024","Boone, NC","3,193",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-14,-6.5,-420.25,-110.25,0,7,14,98,1,0,0,0,0,0,0,1,0,0,1,0,138.5,140,0,40.8672077785714,28.323,1,112,21112,5,,-44.5596679222143,-44.5596679222143,-44.5596679222143,-44.5596679222143,-44.5596679222143
,Appalachian St.,AWAY,Sun Belt,Wisconsin,Big Ten,"Nov 10, 2024","Madison, WI","13,913",1,0,1,0,1,1,0,2,0,1,0,0,-0.5,-0.25,1,-31,12.5,-342.25,-72.25,0,9,34,306,0,0,0,0,0,0,0,0,0,0,0,0,141.5,143,0,39.2679319977714,28.323,1,211,22211,15,,-40.3027036800223,-40.3027036800223,-40.3027036800223,-40.3027036800223,-40.3027036800223
Arizona,,,,,,,,,,,,,,,0.666666666666667,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.3315864920411,-21.2479345518131,93.7880401980729,65.0432909008445,56.2085191542187
,Arizona,HOME,Big 12,Canisius,MAAC,"Nov 4, 2024","Tucson, AZ","13,597",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,-34.5,-30.25,20.25,0,32,0,0,0,0,0,0,0,1,0,0,0,0,0,1,155.5,157,0,69.5678507958857,55.326,1,112,21112,15,,-16.3315864920411,-16.3315864920411,-16.3315864920411,-16.3315864920411,-16.3315864920411
,Arizona,AWAY,Big 12,Wisconsin,Big Ten,"Nov 15, 2024","Madison, WI","16,838",1,0,1,0,1,1,0,3,0,1,0,0,0,0,1,-15,-4.5,-380.25,-90.25,0,0,18,0,1,0,0,0,0,0,0,0,0,0,1,0,150.5,191,0,84.4151448186857,55.326,1,211,22211,50,,-21.2479345518131,-21.2479345518131,-21.2479345518131,-21.2479345518131,-21.2479345518131
,Arizona,HOME,Big 12,Old Dominion,Sun Belt,"Nov 6, 2023","Tucson, AZ",13982,1,0,0,0,0,0,1,0,1,0,0,0,1,1,-1,58,-29.5,812.25,1482.25,1,60,0,0,0,0,0,0,0,0,0,0,1,0,0,1,163.5,146,0,84.3419198072857,55.326,1,112,21112,25,,93.7880401980729,93.7880401980729,93.7880401980729,93.7880401980729,93.7880401980729
Arizona St.,,,,,,,,,,,,,,,1,1,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3377202902123,-23.38136543884,60.7051637002467,40.0353585095854,145.999238841831
,Arizona St.,HOME,Big 12,Idaho St.,Big Sky,"Nov 5, 2024","Tempe, AZ",6966,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,-17.5,-110.25,-0.25,0,13,8,104,0,0,0,1,0,0,0,1,0,0,0,0,145.5,103,0,50.138056116,10.705,1,112,21112,15,,-23.38136543884,-23.38136543884,-23.38136543884,-23.38136543884,-23.38136543884
,Arizona St.,NEUTRAL,Big 12,Santa Clara,WCC,"Nov 8, 2024","Henderson, NV",N/A,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,7,5.5,156.25,506.25,1,10,5,50,0,1,0,1,0,0,0,1,1,0,1,0,151.5,155,0,54.0062281639333,10.705,1,312,21312,25,,53.8615972816393,53.8615972816393,53.8615972816393,53.8615972816393,53.8615972816393
,Arizona St.,AWAY,Big 12,Grand Canyon,WAC,"Nov 14, 2024","Phoenix, AZ","13,705",1,0,1,0,1,1,1,2,0,1,0,0,-0.333333333333333,-0.111111111111111,0,11,3.5,210.25,600.25,1,14,6,84,0,1,0,0,0,0,0,1,1,0,1,0,147.5,163,0,54.0188366913333,10.705,1,212,22212,34,,60.7051637002467,60.7051637002467,60.7051637002467,60.7051637002467,60.7051637002467
,Arizona St.,AWAY,Big 12,Gonzaga,WCC,"Nov 10, 2024","Spokane, WA",6000,1,0,1,0,1,1,1,1,0,1,0,0,0,0,-1,-8,18.5,110.25,420.25,1,6,8,48,0,0,0,0,0,0,1,1,1,0,0,0,158.5,168,0,54.0673298785333,10.705,1,212,22212,30,,54.8138432987853,54.8138432987853,54.8138432987853,54.8138432987853,54.8138432987853
Arkansas,,,,,,,,,,,,,,,1,1,,,,,,,0.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.49966929196075,0.82040589602263,10.5912489430546,4.90687325105341,17.911324131038
,Arkansas,HOME,SEC,Lipscomb,ASUN,"Nov 6, 2024","Fayetteville, AR",19200,1,0,0,0,0,0,1,1,0,1,0,0,-1,-1,1,16,-16.5,-0.25,90.25,0,17,5,85,0,0,0,0,0,0,0,0,0,0,0,0,160.5,136,0,178.531389602263,60.172,1,112,21112,0,,0.82040589602263,0.82040589602263,0.82040589602263,0.82040589602263,0.82040589602263
,Arkansas,HOME,SEC,Troy,Sun Belt,"Nov 13, 2024","Fayetteville, AR","19,200",1,0,0,0,0,0,1,2,0,1,0,0,-0.5,-0.25,1,16,-12.5,12.25,182.25,1,17,6,102,0,0,0,0,0,0,0,0,1,0,0,0,153.5,114,0,182.805294305463,60.172,1,112,21112,20,,10.5912489430546,10.5912489430546,10.5912489430546,10.5912489430546,10.5912489430546
,Arkansas,NEUTRAL,SEC,Baylor,Big 12,"Nov 9, 2024","Dallas, TX","10,207",1,1,0,1,1,1,1,0,1,0,0,0,1,1,-1,-5,1.5,-12.25,42.25,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,156.5,139,0,199.387029196075,60.172,1,322,22322,65,,6.49966929196075,6.49966929196075,6.49966929196075,6.49966929196075,6.49966929196075
Arkansas Pine Bluff,,,,,,,,,,,,,,,1,0.75,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49338967468034,-14.171599285788,42.3640369556047,24.9270464303251,33.1792170191774
,Arkansas Pine Bluff,AWAY,SWAC,Cincinnati,Big 12,"Nov 4, 2024","Cincinnati, OH","10,290",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,-55,36.5,-342.25,-72.25,0,2,55,110,0,0,0,0,0,0,0,0,0,0,0,1,151.5,163,0,9.7597714212,6.55,1,222,21222,0,,-14.171599285788,-14.171599285788,-14.171599285788,-14.171599285788,-14.171599285788
,Arkansas Pine Bluff,AWAY,SWAC,South Florida,American,"Nov 12, 2024","Tampa, FL","4,404",1,0,1,0,0,0,1,0,2,0,0,0,0.333333333333333,0.111111111111111,-1,-16,23.5,56.25,306.25,1,0,20,0,0,0,0,0,0,0,0,0,1,0,0,1,162.5,154,0,3.0695288938,6.55,1,212,21212,5,,42.3640369556047,42.3640369556047,42.3640369556047,42.3640369556047,42.3640369556047
,Arkansas Pine Bluff,AWAY,SWAC,Incarnate Word,Southland,"Nov 16, 2024","San Antonio, TX",112,1,0,1,0,0,0,1,2,1,0.666666666666667,0,0,-0.416666666666667,-0.173611111111111,1,-28,14.5,-182.25,-12.25,0,2,28,56,0,0,0,0,0,0,0,0,0,0,0,0,160.5,156,0,2.9695116952,6.55,1,212,21212,10,,-5.60933221638133,-5.60933221638133,-5.60933221638133,-5.60933221638133,-5.60933221638133
,Arkansas Pine Bluff,AWAY,SWAC,Tulsa,American,"Nov 9, 2024","Tulsa, OK",2753,1,0,1,0,0,0,1,1,0,1,0,0,-0.5,-0.25,0,-23,22.5,-0.25,90.25,0,3,32,96,0,0,0,0,0,0,0,0,0,0,0,1,162.5,183,0,2.9326565742,6.55,1,212,21212,15,,10.596111565742,10.596111565742,10.596111565742,10.596111565742,10.596111565742
Arkansas St.,,,,,,,,,,,,,,,0.75,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.71772066669834,1.64916680929,96.29865080929,45.7144083971984,111.383258951977
,Arkansas St.,HOME,Sun Belt,Akron,MAC,"Nov 4, 2024","Jonesboro, AR",4610,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5,-5.5,-0.25,90.25,0,11,3,33,0,0,0,1,0,0,0,0,0,0,1,0,148.5,155,0,31.633880929,22.157,1,112,22112,-10,,1.64916680929,1.64916680929,1.64916680929,1.64916680929,1.64916680929
,Arkansas St.,AWAY,Sun Belt,Alabama,SEC,"Nov 8, 2024","Tuscaloosa, AL","13,474",1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,-9,24.5,240.25,650.25,1,1,16,16,0,0,0,0,0,0,0,0,1,0,0,1,171.5,167,0,31.633880929,22.157,1,221,22221,80,,96.29865080929,96.29865080929,96.29865080929,96.29865080929,96.29865080929
,Arkansas St.,HOME,Sun Belt,Little Rock,Ohio Valley,"Nov 12, 2024","Jonesboro, AR","5,187",1,0,0,0,0,0,1,1,1,0.5,0,0,0,0,0,17,-14.5,6.25,156.25,1,17,4,68,0,0,0,0,0,1,0,0,0,0,0,0,157.5,143,0,31.594965445,22.157,1,112,21112,20,,5.20551065445,5.20551065445,5.20551065445,5.20551065445,5.20551065445
,Arkansas St.,HOME,Sun Belt,Stephen F. Austin,WAC,"Nov 16, 2024","Jonesboro, AR","4,129",1,0,0,0,0,0,1,2,1,0.666666666666667,0,0,0,0,0,10,-7.5,6.25,156.25,1,12,5,60,0,0,0,0,0,0,0,1,0,0,1,0,148.5,108,0,43.291901228,22.157,1,112,21112,30,,8.22993067894667,8.22993067894667,8.22993067894667,8.22993067894667,8.22993067894667
Army,,,,,,,,,,,,,,,0.666666666666667,0.666666666666667,,,,,,,-0.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.487444229626,17.03355393529,27.57514685191,5.51600236437689,64.096145016826
,Army,HOME,Patriot,Albany,American East,"Nov 4, 2024","West Point, NY",350,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,-1.5,42.25,272.25,1,11,7,77,0,0,0,1,0,0,0,1,1,0,1,0,143.5,126,0,17.568593529,12.615,1,112,21112,30,,17.03355393529,17.03355393529,17.03355393529,17.03355393529,17.03355393529
,Army,AWAY,Patriot,Duke,ACC,"Nov 8, 2024","Durham, NC","9,314",1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,-42,33.5,-72.25,2.25,0,1,42,42,0,0,0,0,0,0,0,0,0,0,0,1,143.5,158,0,26.5883229626,12.615,1,221,22221,0,,19.487444229626,19.487444229626,19.487444229626,19.487444229626,19.487444229626
,Army,AWAY,Patriot,Marist,MAAC,"Nov 15, 2024","Poughkeepsie, NY","2,249",1,0,1,0,0,0,1,1,1,0.5,0,0,0.166666666666667,0.0277777777777779,-1,-3,7.5,20.25,210.25,1,5,7,35,0,0,0,0,0,0,1,1,1,0,1,0,131.5,179,0,17.923685191,12.615,1,212,21212,20,,27.57514685191,27.57514685191,27.57514685191,27.57514685191,27.57514685191
Auburn,,,,,,,,,,,,,,,1,1.33333333333333,,,,,,,0.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8031730163305,7.37573995105651,138.720118868271,66.3385295665105,202.899031835658
,Auburn,HOME,SEC,Vermont,American East,"Nov 6, 2024","Auburn, AL",9121,1,0,0,0,1,1,1,1,0,1,0,0,-1,-1,1,51,-17.5,1122.25,1892.25,1,57,1,57,0,0,0,0,0,0,0,0,1,0,0,0,143.5,137,0,98.1047868271173,60.197,1,112,22112,40,,138.720118868271,138.720118868271,138.720118868271,138.720118868271,138.720118868271
,Auburn,HOME,SEC,Kent St.,MAC,"November 13, 2024","Auburn, AL","9,121",1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,23,-22.5,0.25,110.25,1,23,0,0,0,0,0,0,0,1,0,0,0,0,0,1,148.5,135,0,110.652095105651,60.197,1,112,21112,0,,7.37573995105651,7.37573995105651,7.37573995105651,7.37573995105651,7.37573995105651
,Auburn,AWAY,SEC,Houston,Big 12,"Nov 9, 2024","Houston, TX","6,901",1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,5,4.5,90.25,380.25,1,7,9,63,0,1,0,1,0,0,1,1,1,0,1,0,144.5,143,0,110.621301633051,60.197,1,222,22222,75,,56.8031730163305,56.8031730163305,56.8031730163305,56.8031730163305,56.8031730163305
Austin Peay,,,,,,,,,,,,,,,0.333333333333333,1.33333333333333,,,,,,,-1.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8251802447127,9.81097289978067,81.3770185217913,36.7849247869727,122.013171666285
,Austin Peay,AWAY,ASUN,Tennessee,SEC,"Nov 17, 2024","Knoxville, TN","17,232",1,0,1,1,1,1,0,3,0,1,0,0,0,0,0,-35,27.5,-56.25,6.25,0,3,37,111,0,0,0,0,0,0,0,0,0,0,0,1,138.5,171,0,43.2630899780667,19.648,1,221,22221,5,,9.81097289978067,9.81097289978067,9.81097289978067,9.81097289978067,9.81097289978067
