LAM,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,SHSU,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,Players,Chat GPT Team,Team,Location,Opponent,Opponent Conference,Conference Game,Power,Top 25,STR/BENCH,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Points Oregon,Points Troy
Appalachian St.,,,,,,,,,,,Appalachian St.,APP,,,,,,,,,0,,Appalachian St. - 28.323,NO,Sun Belt,"Boone, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,,,,,,,,,,,Arizona,ARIZ,,,,,,,,,1,,Arizona - 55.326,YES,Big 12,"Tucson, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona St.,,,,,,,,,,,Arizona St.,ASU,,,,,,,,,0,,Arizona St. - 10.705,NO,Big 12,"Tempe, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,,,,,,,,,,,Arkansas,ARK,,,,,,,,,1,,Arkansas - 60.172,NO,SEC,"Fayetteville, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas Pine Bluff,,,,,,,,,,,Arkansas Pine Bluff,,,,,,,,,,0,,Arkansas Pine Bluff - 6.55,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas St.,,,,,,,,,,,Arkansas St.,ARST,,,,,,,,,0,,Arkansas St. - 22.157,NO,Sun Belt,"Jonesboro, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army,,,,,,,,,,,Army,ARMY,,,,,,,,,0,,Army - 12.615,NO,Patriot,"West Point, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn,,,,,,,,,,,Auburn,AUB,,,,,,,,,1,,Auburn - 60.197,YES,SEC,"Auburn, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Peay,,,,,,,,,,,Austin Peay,APSU,,,,,,,,,0,,Austin Peay - 19.648,NO,ASUN,"Clarksville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ball St.,,,,,,,,,,,Ball St.,BALL,,,,,,,,,0,,Ball St. - 9.249,NO,MAC,"Muncie, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor,,,,,,,,,,,Baylor,BAY,,,,,,,,,1,,Baylor - 67.628,YES,Big 12,"Waco, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellarmine,,,,,,,,,,,Bellarmine,BELL,,,,,,,,,0,,Bellarmine - 17.233,NO,ASUN,"Louisville, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,,,,,,,,,,,Belmont,BEL,,,,,,,,,0,,Belmont - 30.544,NO,Missouri Valley,"Nashville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethune Cookman,,,,,,,,,,,Bethune Cookman,BCU,,,,,,,,,0,,Bethune Cookman - 16.387,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binghamton,,,,,,,,,,,Binghamton,,,,,,,,,,0,,Binghamton - 9.61,NO,American East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boise St.,,,,,,,,,,,Boise St.,BOIS,,,,,,,,,0,,Boise St. - 49.193,YES,Mountain West,"Boise, ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston College,,,,,,,,,,,Boston College,BC,,,,,,,,,0,,Boston College - 0.355,NO,ACC,"Chestnut Hill, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston University,,,,,,,,,,,Boston University,BU,,,,,,,,,0,,Boston University - 17.666,NO,Patriot,"Boston, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowling Green,,,,,,,,,,,Bowling Green,BGSU,,,,,,,,,0,,Bowling Green - 20.831,NO,MAC,"Bowling Green, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley,,,,,,,,,,,Bradley,BRAD,,,,,,,,,0,,Bradley - 33.034,NO,Missouri Valley,"Peoria, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,,,,,,,,,,,Brown,BRWN,,,,,,,,,0,,Brown - 15.241,NO,Ivy,"Providence, RI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryant,,,,,,,,,,,Bryant,BRY,,,,,,,,,0,,Bryant - 24.98,NO,American East,"Smithfield, RI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucknell,,,,,,,,,,,Bucknell,BUCK,,,,,,,,,0,,Bucknell - 10.183,NO,Patriot,"Lewisburg, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo,,,,,,,,,,,Buffalo,BUF,,,,,,,,,0,,Buffalo - 12.286,NO,MAC,"Buffalo, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butler,,,,,,,,,,,Butler,BUT,,,,,,,,,0,,Butler - 2.512,NO,Big East,"Indianapolis, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYU,,,,,,,,,,,BYU,BYU,,,,,,,,,0,,BYU - 26.441,YES,Big 12,"Provo, UT","Salt Lake City, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Baptist,,,,,,,,,,,Cal Baptist,CBU,,,,,,,,,0,,Cal Baptist - 18.677,NO,WAC,"Riverside, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Poly,,,,,,,,,,,Cal Poly,CP,,,,,,,,,0,,Cal Poly - 5.479,NO,Big West,"San Luis Obispo, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal St. Bakersfield,,,,,,,,,,,Cal St. Bakersfield,CSUB,,,,,,,,,0,,Cal St. Bakersfield - 11.716,NO,Big West,"Bakersfield, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal St. Fullerton,,,,,,,,,,,Cal St. Fullerton,CSUF,,,,,,,,,0,,Cal St. Fullerton - 21.864,NO,Big West,"Fullerton, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal St. Northridge,,,,,,,,,,,Cal St. Northridge,CSUN,,,,,,,,,0,,Cal St. Northridge - 10.436,NO,Big West,"Northridge, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,,,,,,,,,,,California,CAL,,,,,,,,,0,,California - -23.234,NO,ACC,"Berkeley, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campbell,,,,,,,,,,,Campbell,CAM,,,,,,,,,0,,Campbell - 16.168,NO,CAA,"Buies Creek, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canisius,,,,,,,,,,,Canisius,CAN,,,,,,,,,0,,Canisius - 10.241,NO,MAAC,"Buffalo, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Arkansas,,,,,,,,,,,Central Arkansas,,,,,,,,,,0,,Central Arkansas - 6.937,NO,ASUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Connecticut,,,,,,,,,,,Central Connecticut,,,,,,,,,,0,,Central Connecticut - 11.702,NO,NEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Michigan,,,,,,,,,,,Central Michigan,CMU,,,,,,,,,0,,Central Michigan - 9.536,NO,MAC,"Mount Pleasant, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston,,,,,,,,,,,Charleston,COFC,,,,,,,,,0,,Charleston - 45.913,YES,CAA,"Charleston, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston Southern,,,,,,,,,,,Charleston Southern,CHSO,,,,,,,,,0,,Charleston Southern - 10.109,NO,Big South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte,,,,,,,,,,,Charlotte,CLT,,,,,,,,,0,,Charlotte - 14.751,NO,American,"Charlotte, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattanooga,,,,,,,,,,,Chattanooga,UTC,,,,,,,,,0,,Chattanooga - 20.783,NO,Southern,"Chattanooga, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago St.,,,,,,,,,,,Chicago St.,,,,,,,,,,0,,Chicago St. - 11.358,NO,NEC,"Chicago, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cincinnati,,,,,,,,,,,Cincinnati,CIN,,,,,,,,,1,,Cincinnati - 28.397,NO,Big 12,"Cincinnati, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clemson,,,,,,,,,,,Clemson,CLEM,,,,,,,,,0,,Clemson - 52.181,YES,ACC,"Clemson, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland St.,,,,,,,,,,,Cleveland St.,CLE,,,,,,,,,0,,Cleveland St. - 39.741,NO,Horizon,"Cleveland, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina,,,,,,,,,,,Coastal Carolina,CCU,,,,,,,,,0,,Coastal Carolina - 16.883,NO,Sun Belt,"Conway, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colgate,,,,,,,,,,,Colgate,COLG,,,,,,,,,0,,Colgate - 64.46,YES,Patriot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,,,,,,,,,,,Colorado,COLO,,,,,,,,,0,,Colorado - 65.726,YES,Big 12,"Boulder, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado St.,,,,,,,,,,,Colorado St.,CSU,,,,,,,,,0,,Colorado St. - 44.205,YES,Mountain West,"Fort Collins, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,,,,,,,,,,,Columbia,COLU,,,,,,,,,0,,Columbia - 6.975,NO,Ivy,"New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,,,,,,,,,,,Connecticut,CONN,,,,,,,,,1,,Connecticut - 97.201,YES,Big East,"Storrs, CT","Hartford, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppin St.,,,,,,,,,,,Coppin St.,,,,,,,,,,0,,Coppin St. - 6.971,NO,MEAC,"Baltimore, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,,,,,,,,,,,Cornell,COR,,,,,,,,,0,,Cornell - 18.884,NO,Ivy,"Ithaca, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton,,,,,,,,,,,Creighton,CREI,,,,,,,,,1,,Creighton - 87.696,YES,Big East,"Omaha, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dartmouth,,,,,,,,,,,Dartmouth,DART,,,,,,,,,0,,Dartmouth - 6.922,NO,Ivy,"Hanover, NH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davidson,,,,,,,,,,,Davidson,DAV,,,,,,,,,0,,Davidson - 24.752,NO,A10,"Davidson, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,,,,,,,,,,,Dayton,DAY,,,,,,,,,0,,Dayton - 44.569,YES,A10,"Dayton, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,,,,,,,,,,,Delaware,DEL,,,,,,,,,0,,Delaware - 16.702,NO,CAA,"Newark, DE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware St.,,,,,,,,,,,Delaware St.,,,,,,,,,,0,,Delaware St. - 16.999,NO,MEAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,,,,,,,,,,,Denver,DEN,,,,,,,,,0,,Denver - 11.969,NO,Summit,"Denver, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DePaul,,,,,,,,,,,DePaul,DEP,,,,,,,,,0,,DePaul - -17.123,NO,Big East,"Chicago, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Mercy,,,,,,,,,,,Detroit Mercy,DETM,,,,,,,,,0,,Detroit Mercy - 8.951,NO,Horizon,"Detroit, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake,,,,,,,,,,,Drake,DRKE,,,,,,,,,0,,Drake - 63.597,YES,Missouri Valley,"Des Moines, IA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drexel,,,,,,,,,,,Drexel,,,,,,,,,,0,,Drexel - 16.136,NO,CAA,"Philadelphia, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,,,,,,,,,,,Duke,DUKE,,,,,,,,,1,,Duke - 74.792,YES,ACC,"Durham, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duquesne,,,,,,,,,,,Duquesne,DUQ,,,,,,,,,0,,Duquesne - 42.907,YES,A10,"Pittsburgh, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Carolina,,,,,,,,,,,East Carolina,ECU,,,,,,,,,0,,East Carolina - 10.686,NO,American,"Greenville, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Tennessee St.,,,,,,,,,,,East Tennessee St.,ETSU,,,,,,,,,0,,East Tennessee St. - 17.863,NO,Southern,"Johnson City, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M,,,,,,,,,,,East Texas A&M,ETAM,,,,,,,,,0,,East Texas A&M - 13.773,NO,Southland,"Commerce, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Illinois,,,,,,,,,,,Eastern Illinois,,,,,,,,,,0,,Eastern Illinois - 6.839,NO,Ohio Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Kentucky,,,,,,,,,,,Eastern Kentucky,EKU,,,,,,,,,0,,Eastern Kentucky - 20.343,NO,ASUN,"Richmond, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Michigan,,,,,,,,,,,Eastern Michigan,,,,,,,,,,0,,Eastern Michigan - 6.991,NO,MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Washington,,,,,,,,,,,Eastern Washington,,,,,,,,,,0,,Eastern Washington - 25.019,NO,Big Sky,"Cheney, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elon,,,,,,,,,,,Elon,,,,,,,,,,0,,Elon - 9.087,NO,CAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evansville,,,,,,,,,,,Evansville,EVAN,,,,,,,,,0,,Evansville - 13.981,NO,Missouri Valley,"Evansville, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield,,,,,,,,,,,Fairfield,FAIR,,,,,,,,,0,,Fairfield - 20.513,NO,MAAC,"Gainesville, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairleigh Dickinson,,,,,,,,,,,Fairleigh Dickinson,FDU,,,,,,,,,0,,Fairleigh Dickinson - 23.068,NO,NEC,"Hackensack, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIU,,,,,,,,,,,FIU,,,,,,,,,,0,,FIU - 11.907,NO,CUSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,,,,,,,,,,,Florida,FLA,,,,,,,,,1,,Florida - 26.868,YES,SEC,"Gainesville, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida A&M,,,,,,,,,,,Florida A&M,,,,,,,,,,0,,Florida A&M - 6.294,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Atlantic,,,,,,,,,,,Florida Atlantic,FAU,,,,,,,,,0,,Florida Atlantic - 61.734,YES,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Gulf Coast,,,,,,,,,,,Florida Gulf Coast,FGCU,,,,,,,,,0,,Florida Gulf Coast - 10.368,NO,ASUN,"Fort Myers, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida St.,,,,,,,,,,,Florida St.,FSU,,,,,,,,,0,,Florida St. - 21.817,NO,ACC,"Tallahassee, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fordham,,,,,,,,,,,Fordham,FOR,,,,,,,,,0,,Fordham - 11.706,NO,A10,"Bronx, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno St.,,,,,,,,,,,Fresno St.,FRES,,,,,,,,,0,,Fresno St. - 12.17,NO,Mountain West,"Fresno, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furman,,,,,,,,,,,Furman,FUR,,,,,,,,,0,,Furman - 34.492,NO,Southern,"Greenville, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner Webb,,,,,,,,,,,Gardner Webb,GWEB,,,,,,,,,0,,Gardner Webb - 13.802,NO,Big South,"Boiling Springs, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Mason,,,,,,,,,,,George Mason,GMU,,,,,,,,,0,,George Mason - 11.913,NO,A10,"Fairfax, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Washington,,,,,,,,,,,George Washington,GW,,,,,,,,,0,,George Washington - 6.424,NO,A10,"Washington, DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgetown,,,,,,,,,,,Georgetown,GTWN,,,,,,,,,0,,Georgetown - -14.013,NO,Big East,"Washington, DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,Georgia,UGA,,,,,,,,,0,,Georgia - -0.491,NO,SEC,"Athens, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia Southern,,,,,,,,,,,Georgia Southern,GASO,,,,,,,,,0,,Georgia Southern - 11.397,NO,Sun Belt,"Statesboro, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia St.,,,,,,,,,,,Georgia St.,GAST,,,,,,,,,0,,Georgia St. - 19.345,NO,Sun Belt,"Atlanta, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia Tech,,,,,,,,,,,Georgia Tech,GT,,,,,,,,,0,,Georgia Tech - -3.36,NO,ACC,"Atlanta, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,,,,,,,,,,,Gonzaga,GONZ,,,,,,,,,1,,Gonzaga - 93.118,YES,WCC,"Spokane, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grambling St.,,,,,,,,,,,Grambling St.,,,,,,,,,,0,,Grambling St. - 36.039,YES,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Canyon,,,,,,,,,,,Grand Canyon,GCU,,,,,,,,,0,,Grand Canyon - 59.398,YES,WAC,"Phoenix, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Bay,,,,,,,,,,,Green Bay,,,,,,,,,,0,,Green Bay - 2.338,NO,Horizon,"Ashwaubenon, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton,,,,,,,,,,,Hampton,HAMP,,,,,,,,,0,,Hampton - 10.548,NO,CAA,"Hampton, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard,,,,,,,,,,,Harvard,HARV,,,,,,,,,0,,Harvard - 16.587,NO,Ivy,"Cambridge, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,,,,,,,,,,,Hawaii,HAW,,,,,,,,,0,,Hawaii - 15.843,NO,Big West,"Honolulu, HI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Point,,,,,,,,,,,High Point,HPU,,,,,,,,,0,,High Point - 19.187,NO,Big South,"High Point, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hofstra,,,,,,,,,,,Hofstra,HOF,,,,,,,,,0,,Hofstra - 30.685,NO,CAA,"Hempstead, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Cross,,,,,,,,,,,Holy Cross,HC,,,,,,,,,0,,Holy Cross - 8.725,NO,Patriot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston,,,,,,,,,,,Houston,HOU,,,,,,,,,1,,Houston - 103.058,YES,Big 12,"Houston, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Christian,,,,,,,,,,,Houston Christian,,,,,,,,,,0,,Houston Christian - 6.772,NO,Southland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard,,,,,,,,,,,Howard,HOW,,,,,,,,,0,,Howard - 37.77,YES,MEAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,,,,,,,,,,,Idaho,,,,,,,,,,0,,Idaho - 4.933,NO,Big Sky,"Moscow, ID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
